Cantons,UnivEdu,SurfHabAndInf,SurfTotal,PopTotal,PopBySurfHabAndInf,PopBySurfTotal,RatPopUnivLevel
ZH,291548.372540915,377.91,1728.89,1466424,3880.3524648725893,848.1881438379538,0.1988158762683337
BE,119063.81673193586,411.98,5959.07,1017483,2469.738822272926,170.74526729842074,0.11701799119192739
LU,41491.205632539735,143.85,1493.42,398762,2772.0681265206813,267.01262873136824,0.10405004898295157
UR,2366.1444743571224,19.97,1076.4,35973,1801.3520280420632,33.419732441471574,0.06577556707411454
SZ,19700.447018968465,55.02,908.09,154093,2800.672482733551,169.68912772963031,0.12784777387012042
OW,2821.169727892896,18.79,490.55,37076,1973.1772219265567,75.5804709000102,0.07609153435896256
NW,4309.4239819003415,14.82,276.06,42420,2862.3481781376518,153.6622473375353,0.10158943851721691
GL,2559.0899220011293,19.95,685.4,40028,2006.416040100251,58.40093376130728,0.0639324953033159
ZG,24299.232403719496,33.06,238.72,122134,3694.3133696309733,511.62030831099196,0.1989555111903278
FR,40304.43606302082,155.3,1671.44,307461,1979.7875080489373,183.94976786483508,0.1310879625806877
SO,27166.14975800833,116.24,790.38,266418,2291.9649002064693,337.0758369391938,0.1019681468895057
BS,49498.439447299264,26.4,36.98,191817,7265.795454545455,5187.04705246079,0.25805032633864183
BL,36882.46149559293,93.77,517.74,283231,3020.4862962567986,547.0525746513694,0.13022042606774303
SH,9314.051064028718,34.02,298.5,79836,2346.73721340388,267.4572864321608,0.1166648011427015
AR,5104.439770988556,22.31,242.94,54543,2444.7781264007167,224.51222524080018,0.09358560715377878
AI,1351.5185113605812,8.15,172.5,15974,1960.0,92.60289855072465,0.0846073939752461
SG,48650.69066071652,194.02,2025.45,499065,2572.2348211524577,246.39709694142041,0.09748367579517
GR,20754.3038616008,138.63,7105.15,196610,1418.2355911418883,27.671477730941643,0.1055607744346717
AG,71835.45775096092,238.55,1403.79,653675,2740.201215678055,465.6501328546293,0.10989476077708482
TG,25447.527787877287,121.74,990.87,267429,2196.7225234105467,269.8931242241666,0.09515620141374827
TI,51844.309055655685,158.81,2812.46,351946,2216.1450790252497,125.13813529792424,0.14730756722808525
VD,150644.4480620902,321.42,3212.2,773407,2406.219276958497,240.77174522134362,0.1947803007499159
VS,39314.98933427845,184.63,5224.42,335696,1818.209391756486,64.25517090892386,0.11711485789011025
NE,24418.45503354856,70.29,802.17,178107,2533.888177550149,222.03148958450203,0.1370999176537057
GE,113217.62951205902,98.73,282.31,484736,4909.7133596677795,1717.0344656583188,0.23356554807577531
JU,6830.296350021195,59.75,838.6,72782,1218.1087866108787,86.78988790841879,0.09384595573110378
